key,events,links,type,em,exemplar,match
33213,79,89,closest,D3,D,3
58773,219,722,closest,G3,G,3
64603,56,72,closest,F5,F,5
112399,58,99,closest,C5,C,5
59649,136,286,closest,G0,G,0
38821,107,121,closest,B5,B,5
71603,37,45,closest,A2,A,2
53116,72,62,closest,F1,F,1
22905,139,216,closest,D5,D,5
50419,107,149,closest,H4,H,4
16606,116,104,closest,C0,C,0
74348,46,41,closest,B5,B,5
93804,94,209,closest,I3,I,3
24575,97,108,closest,A3,A,3
76470,49,57,closest,D3,D,3
75262,120,236,closest,B2,B,2
27722,140,160,closest,D4,D,4
16843,173,409,closest,C1,C,1
32628,264,677,closest,D1,D,1
84560,83,164,closest,E0,E,0
17972,80,128,closest,D1,D,1
58718,73,57,closest,G2,G,2
57551,139,340,closest,J2,J,2
38525,226,506,closest,B1,B,1
15735,47,37,closest,E4,E,4
24778,140,235,closest,H2,H,2
24792,47,59,closest,E2,E,2
101344,160,884,closest,A0,A,0
52807,130,205,closest,A1,A,1
29281,95,145,closest,J1,J,1
76616,237,1050,closest,D4,D,4
74556,36,41,closest,A1,A,1
14758,53,33,closest,B1,B,1
37428,166,386,closest,J5,J,5
69693,37,31,closest,C3,C,3
28682,203,378,closest,D0,D,0
24635,87,152,closest,E1,E,1
65036,72,61,closest,F0,F,0
113265,77,216,closest,C2,C,2
52983,219,624,closest,A2,A,2
14554,152,251,closest,C4,C,4
93566,128,484,closest,I0,I,0
23359,120,130,closest,C2,C,2
112257,70,146,closest,C1,C,1
50787,36,30,closest,A4,A,4
100599,182,1296,closest,A3,A,3
13696,55,54,closest,J3,J,3
113249,70,151,closest,C0,C,0
52620,70,63,closest,A5,A,5
74952,93,171,closest,D2,D,2
31523,77,154,closest,E5,E,5
93240,61,85,closest,I5,I,5
66626,96,186,closest,B0,B,0
101282,199,1504,closest,A5,A,5
13162,113,106,closest,C5,C,5
53435,135,289,closest,A0,A,0
14995,109,134,closest,H1,H,1
38352,196,406,closest,B3,B,3
38295,107,133,closest,B4,B,4
38869,203,543,closest,B2,B,2
50777,110,207,closest,H3,H,3
14709,140,163,closest,D2,D,2
32472,117,159,closest,H5,H,5
59161,100,125,closest,G5,G,5
84218,139,418,closest,E3,E,3
41662,83,111,closest,J0,J,0
32750,158,300,closest,H0,H,0
65062,156,413,closest,F4,F,4
52996,123,297,closest,J4,J,4
58887,119,171,closest,G1,G,1
93643,153,560,closest,I4,I,4
90133,53,79,closest,C4,C,4
38828,140,208,closest,B0,B,0
94060,141,544,closest,I2,I,2
93516,102,257,closest,I1,I,1
15045,91,69,closest,C3,C,3
13684,82,70,closest,A4,A,4
58715,140,249,closest,G4,G,4
76535,71,84,closest,D5,D,5
31446,86,188,closest,B3,B,3
74438,59,62,closest,B4,B,4
64299,69,59,closest,F2,F,2
28428,127,299,closest,D0,D,0
15951,73,63,closest,F3,F,3
