age-0,age-1,age-2,age-3,age-4,age-5,distance-0,distance-1,distance-2,distance-3,distance-4,distance-5,kinsey distance-0,kinsey distance-1,kinsey distance-2,kinsey distance-3,kinsey distance-4,kinsey distance-5,network size-0,network size-1,network size-2,network size-3,network size-4,network size-5,life events-0,life events-1,life events-2,life events-3,life events-4,life events-5
19,19,19,19,19,19,0.0,0.577,0.636,0.688,0.712,0.724,0.0,0.83,0.26,0.9,0.121,0.112,53,9,13,60,7,56,183,61,60,206,61,223
49,49,49,49,49,49,0.0,0.335,0.598,0.606,0.608,0.629,0.0,0.141,0.146,0.224,0.258,0.226,30,56,50,44,27,23,193,279,259,253,164,162
55,55,55,55,55,55,0.0,0.352,0.476,0.477,0.483,0.487,0.0,0.206,0.145,0.242,0.177,0.338,14,50,21,15,29,19,180,238,185,158,216,178
28,28,28,28,28,28,0.0,0.179,0.25,0.276,0.277,0.282,0.0,0.261,0.284,0.497,0.178,0.164,42,17,19,10,65,15,162,114,129,81,270,103
24,24,24,24,24,24,0.0,0.258,0.33,0.362,0.373,0.38,0.0,0.362,0.189,0.275,0.321,0.398,18,16,9,33,8,17,114,117,78,168,79,108
36,36,36,36,36,36,0.0,0.127,0.176,0.205,0.215,0.226,0.0,0.289,0.346,0.459,0.29,0.294,12,11,12,16,35,13,117,114,110,115,197,100
39,39,39,39,39,39,0.0,0.13,0.149,0.3,0.339,0.35,0.0,0.379,0.357,0.386,0.336,0.47,31,23,12,45,24,18,184,166,119,267,188,148
43,43,43,43,43,43,0.0,0.278,0.281,0.308,0.337,0.346,0.0,0.598,0.32,0.215,0.539,0.244,38,21,32,22,26,30,207,159,189,161,157,170
21,21,21,21,21,21,0.0,0.178,0.201,0.217,0.218,0.219,0.0,0.425,0.192,0.959,0.385,0.207,33,23,35,24,41,14,154,127,166,120,179,87
33,33,33,33,33,33,0.0,0.156,0.182,0.207,0.211,0.223,0.0,0.871,0.775,0.786,0.18,0.811,21,20,37,10,40,44,122,134,177,94,161,204
