age-0,age-1,age-2,age-3,age-4,age-5,distance-0,distance-1,distance-2,distance-3,distance-4,distance-5,kinsey distance-0,kinsey distance-1,kinsey distance-2,kinsey distance-3,kinsey distance-4,kinsey distance-5,network size-0,network size-1,network size-2,network size-3,network size-4,network size-5,life events-0,life events-1,life events-2,life events-3,life events-4,life events-5
22,22,22,22,22,22,0.0,0.092,0.122,0.133,0.133,0.136,0.0,0.537,0.097,0.472,0.495,0.075,27,11,29,21,30,24,138,72,150,133,149,124
21,21,21,21,21,21,0.0,0.144,0.146,0.159,0.162,0.163,0.0,0.287,0.303,0.184,0.067,0.067,36,22,45,3,16,26,149,116,178,43,78,128
58,58,58,58,58,58,0.0,0.341,0.355,0.365,0.377,0.417,0.0,0.563,0.135,0.308,0.095,0.298,26,19,19,15,37,33,187,177,194,162,248,221
32,32,32,32,32,32,0.0,0.067,0.07,0.086,0.093,0.114,0.0,0.084,0.188,0.259,0.127,0.155,14,15,30,12,12,25,89,120,163,111,117,137
25,25,25,25,25,25,0.0,0.156,0.173,0.205,0.212,0.215,0.0,0.092,0.168,0.104,0.095,0.114,33,6,6,10,15,8,156,81,68,81,101,81
55,55,55,55,55,55,0.0,0.179,0.18,0.191,0.2,0.209,0.0,0.272,0.028,0.222,0.156,0.287,23,18,31,14,37,18,192,167,231,178,225,169
38,38,38,38,38,38,0.0,0.183,0.203,0.214,0.228,0.245,0.0,0.104,0.129,0.32,0.177,0.377,28,44,30,9,31,17,149,218,175,107,165,145
37,37,37,37,37,37,0.0,0.157,0.176,0.184,0.196,0.21,0.0,0.083,0.121,0.202,0.055,0.091,13,23,11,14,15,4,119,151,103,120,118,77
16,16,16,16,16,16,0.0,0.104,0.107,0.112,0.12,0.127,0.0,0.284,0.307,0.38,0.39,0.312,11,18,4,8,6,31,80,94,54,63,72,121
31,31,31,31,31,31,0.0,0.079,0.095,0.097,0.102,0.125,0.0,0.49,0.156,0.483,0.568,0.225,13,12,31,59,23,23,114,103,139,278,145,137
