key,events,links,type,em,exemplar,match
18387,111,97,furthest,F3,F,3
15140,167,242,furthest,J5,J,5
25577,110,116,furthest,J0,J,0
112139,99,328,furthest,J4,J,4
20457,37,49,furthest,B2,B,2
71583,21,32,furthest,H2,H,2
90358,234,1460,furthest,B0,B,0
112099,43,59,furthest,C5,C,5
78285,67,121,furthest,I5,I,5
21023,347,1184,furthest,J3,J,3
112500,68,132,furthest,B3,B,3
20270,205,409,furthest,H4,H,4
69645,82,138,furthest,D0,D,0
34305,101,242,furthest,H0,H,0
72075,54,74,furthest,B4,B,4
33696,40,39,furthest,H1,H,1
32732,54,90,furthest,A3,A,3
112167,45,65,furthest,J1,J,1
26687,46,63,furthest,H5,H,5
80374,174,1137,furthest,C5,C,5
46171,50,45,furthest,G0,G,0
22820,241,574,furthest,H1,H,1
42047,94,302,furthest,A1,A,1
64766,15,8,furthest,C4,C,4
42304,229,601,furthest,C0,C,0
83887,89,322,furthest,J2,J,2
90650,74,217,furthest,J3,J,3
17495,276,874,furthest,I0,I,0
87131,63,83,furthest,A0,A,0
16350,37,35,furthest,H4,H,4
100667,52,66,furthest,F0,F,0
112196,42,45,furthest,D5,D,5
112189,98,337,furthest,B5,B,5
77603,68,147,furthest,I4,I,4
57478,155,512,furthest,E0,E,0
89820,53,69,furthest,D1,D,1
90718,44,47,furthest,D2,D,2
112676,45,52,furthest,A2,A,2
16461,41,45,furthest,I1,I,1
78181,30,39,furthest,C3,C,3
