age-0,age-1,age-2,age-3,age-4,age-5,distance-0,distance-1,distance-2,distance-3,distance-4,distance-5,kinsey distance-0,kinsey distance-1,kinsey distance-2,kinsey distance-3,kinsey distance-4,kinsey distance-5,network size-0,network size-1,network size-2,network size-3,network size-4,network size-5,life events-0,life events-1,life events-2,life events-3,life events-4,life events-5
19,64,65,65,69,70,0.0,45.018,46.009,46.016,50.009,51.011,0.0,0.251,0.883,0.19,0.236,0.312,53,60,24,88,46,41,183,313,192,423,288,247
49,16,16,16,16,16,0.0,33.023,33.024,33.025,33.028,33.03,0.0,0.357,0.262,0.332,0.253,0.229,30,9,5,17,6,25,193,76,59,88,75,118
55,16,16,16,16,16,0.0,39.015,39.016,39.016,39.016,39.017,0.0,0.349,0.246,0.116,0.182,0.193,14,15,8,6,62,7,180,88,62,75,197,63
28,64,65,65,69,70,0.0,36.004,37.001,37.007,41.002,42.007,0.0,0.182,0.876,0.161,0.246,0.292,42,60,24,88,46,41,162,313,192,423,288,247
24,64,65,65,69,70,0.0,40.013,41.009,41.012,45.009,46.012,0.0,0.331,0.956,0.449,0.054,0.115,18,60,24,88,46,41,114,313,192,423,288,247
36,64,65,65,69,70,0.0,28.001,29.003,29.009,33.007,34.004,0.0,0.29,0.419,1.015,0.102,0.07,12,60,88,24,46,41,117,313,423,192,288,247
39,64,65,65,69,70,0.0,25.012,26.008,26.014,30.007,31.014,0.0,0.506,0.384,0.944,0.368,0.492,31,60,88,24,46,41,184,313,423,192,288,247
43,16,16,16,16,16,0.0,27.021,27.021,27.022,27.023,27.025,0.0,0.521,0.386,0.439,0.175,0.213,38,7,6,15,6,9,207,61,41,88,58,72
21,64,65,65,69,70,0.0,43.003,44.002,44.007,48.007,49.003,0.0,0.34,0.922,0.387,0.069,0.208,33,60,24,88,46,41,154,313,192,423,288,247
33,64,65,65,69,70,0.0,31.005,32.007,32.009,36.011,37.002,0.0,0.784,0.286,0.816,0.784,0.831,21,60,24,88,46,41,122,313,192,423,288,247
